GTIN-14;Brand Name;Name
959742;Trader Joe's;Turkey Jerky Teriyaki
41250500735;Meijer;Vitamin C 500 mg
9780670022151;;What Technology Wants
602652170560;Kind;Plus Peanut Butter Dark Chocolate
88395013010;;Carlson Cod Liver Oil Super 1000 mg
50255224003;;Ritter Sport Dark Chocolate with Whole Hazelnuts
80432106419;Redbreast;Single Pot Still Irish Whiskey 15 Years
859612001024;;21st Amendment Hell or High Watermelon Wheat Beer
18200530470;Crisp melons $1.50;Crisp Melon Seedless Watermelon
859612001000;;21st Amendment Hell or High Watermelon
37000138082;Tide;Plus Downy Clean Breeze
805002000375;Natural Grooming by Herban Cowboy;Dusk Deodorant
321134771643;Safeway;Blue Mint Antiseptic Mouth Rinse
381370036913;Aveeno;Clear Complexion Foaming Cleanser
381370033875;Clean & Clear;Essentials Foaming Facial Cleanser Sensitive Skin
71249175446;l'Oreal;EverStrong Hydrate Shampoo
71249175453;l'Oreal;EverStrong Hydrate Conditioner
49022593756;;Studio 35 Liquid Hand Soap Cucumber Melon
8080025111;Molton Brown;Re-Charge Black Pepper Body Wash
24463061095;Sriracha;Hot Chili Sauce
847972000009;;Maldon Sea Salt Flakes
99482405502;;365 Organic Extra Virgin Olive Oil
41224705487;Don Bruno;Sherry Vinegar
857190000316;BINOY;Grapeseed Oil
99482419271;365;Crushed Red Chili Peppers
70501027004;Neutrogena;Alcohol-Free Toner
36000258448;;Kleenex Tissues
36000258493;;Kleenex Tissues
670535001089;;The Art Of Shaving Shaving Cream
670535241027;;The Art Of Shaving After-Shave Balm
670535140023;;The Art Of Shaving Pre-Shave Oil
36600814815;;Chap Stick
603084243761;Garnier Fructis Style;Pure Clean Finishing Paste
305211793049;Pond's;Dry Skin Cream
74887615305;Up & Up;Exfoliating Cucumber Cleansing Towelettes
732708003198;Viano Vineyards;Cabernet Sauvignon
7298880108197;;Kiwi And Apple Infusion
42100054163;Hot Shot;Flying Insect Killer
35000446237;Ajax;Triple Action Dish Liquid
76950450233;;Yogi Peach DeTox Tea
24600010016;Morton;Salt
52100050201;McCormick;Pure Ground Black Pepper
13562610020;Annie's;Rice Pasta and Extra Cheesy Cheddar Sauce
41390000829;Kikkoman;Gluten-Free Soy Sauce
77885882007;Tapatio;Hot Sauce
599412;Trader Joe's;Organic White Quinoa
48001006874;Skippy;Natural Creamy Peanut Butter Spread
80000006738;Star;StarKist Chunk Light Tuna In Water
21130602360;Safeway Kitchens;Basil Leaves
50428943397;;CVS Crushed Red Pepper
52100007168;McCormick;Oregano Leaves
11194365349;S&W;Crushed Italian Recipe Tomatoes
81054394277;;Crane Lake Pinot Grigio 2012
157919;Trader Joe's;Chicken Drummellas
27000490259;Orville Redenbacher's;Light Butter Popcorn
79893107158;Eating Right;Turkey Lasagna
859097;Trader Joe's;Lowfat Granola Cereal With Almond
79893107165;Eating Right;Chicken Teriyaki
44000000554;;Premium Saltine Crackers Unsalted Top
80686110026;;Skinnygirl White Cranberry Cosmo
282857;Trader Joe's;Spicy Jalapeño Chicken Sausage
42272005888;;Amy's Spicy Organic Chili
99482416317;;365 Organic Vegetable Broth
994378;Trader Joe's;Fire Roasted Bell Peppers And Onions
934428;Trader Joe's;Bean So Green
